epa-c-25400117, EPA c , SE-259E CAM KIT Developed specifically for big displacement Twin Cam engines this cam has a modern lobe design that allows for higher valve lifts for a given duration. A high-lift version of the SE-211 camshaft this cam works great with 103 cubic inch and larger engines with free-flowing intake and exhaust. It can be used with stock heads (updated with race springs) and high-compression pistons for even more torque than a SE-211 cam or can be coupled with any of the performance heads to realize the full power potential. 50-State U.S. EPA compliant. SE-585 CAM KIT This cam is a great match for riders of heavy Touring bikes looking for big torque at the low end. Just a quick downshift to fourth gear results in an effortless pass of that slow moving tractor-trailer ahead of you. This cam provides an early hit of torque at the low end of the RPM spectrum. A unique combination of lift cam lobe duration and an enhanced cam profile ramp provides a performance boost you can feel. The cam's QRD (Quiet Ramp Design) delivers high torque throughout the RPM range while reducing valve train noise. 50-State U.S. EPA compliant. 25400117 $329.95 For use on '14-'16 Touring models with the use of a 58mm Throttle Body. Also fits '14-'16 CVOTM Touring models with or without the use of a 58mm Throttle Body. Does not fit Trike models. Installation requires separate purchase of Performance Valve Spring Kit P/N 1801303A. All models require ECM calibration for proper installation. Labor cost not included. See Dealer for details., Harley Davidson,  , Tags, , Title, Default Title, , , , , 25400117, ,,,,,280.46,329.95
tour-pak-hinge-and-latch-53000343, TOUR-PAK HINGE AND LATCH , TOUR-PAK HINGE AND LATCH KIT GLOSS BLACK Upgrade the appearance of your Tour-Pak luggage. These Original Equipment-style hinges and latch are polished and finished in rich gloss black. The complete kit includes hinges latch and all necessary hardware., Harley Davidson,  , Tags, , Title, Default Title, , , , , 53000343, ,,,,,169.96,199.95
tour-pak-lid-fitted-53000392, TOUR-PAK LID FITTED , PREMIUM FITTED SADDLEBAG LINING '14-LATER MODELS PREMIUM FITTED SADDLEBAG LINING '93-'13 MODELS TOUR-PAK LID FITTED LINING WITH ORGANIZER PREMIUM BLACK Equip the Tour-Pak lid to protect and store your belongings. This Premium Lid Lining features a soft-touch black felt finish to reduce noise and a convenient series of storage pouches that provide easy access to all your essentials. Four flap pouches and one mesh and one clear pocket provide plenty of storage and a great way to keep keys cell phones glasses and papers handy. Hook-and-loop fasteners secure the onepiece formed lining to the lid and allow easy removal for cleaning and maintenance., Harley Davidson,  , Tags, , Title, Default Title, , , , , 53000392, ,,,,,135.96,159.95
trunk-travel-paks-53000431, TRUNK TRAVEL-PAKS  , SADDLEBAG COOLER TRUNK TRAVEL-PAKS These well-constructed ballistic nylon bags are designed to fit perfectly into the rear or top-load trunk of the HarleyDavidson Trike models. Styled to compliment the Premium Luggage Collection the twin bags feature white piping and a reflective Bar & Shield logo. The bags feature glove-friendly zippered access to the main compartment and convenient outer pouches. Comfortable carrying straps make transportation a breeze. Sold in pairs., Harley Davidson,  , Tags, , Title, Default Title, , , , , 53000431, ,,,,,97.71,114.95
tour-pak-luggageheritage-style-53000570, TOUR-PAK LUGGAGEHERITAGE STYLE  , TOUR-PAK LUGGAGE When you're serious about racking up miles Tour-Pak luggage systems will help you pack for the trip. You can carry all the rain gear clothing and camping equipment you need for a ride across the country or load it up with groceries on a run to the corner store. And when you arrive at your destination the Tour-Pak and its HoldFastTM Mounting Rack can be removed in seconds to return your bike to a stripped-down profile. The hard-shell body and lid open to reveal a cavernous interior that will hold one full face helmet or two half helmets. A. TOUR-PAK LUGGAGE HERITAGE STYLE Accented with twin rows of blacked-out rectangular studs this Tour-Pak is the perfect match for the seats and saddlebags on your Heritage Softail model. Wrapped in rich long-wearing vinyl this rigid-body Tour-Pak features a lockable lid for added security. Kit includes matching backrest pad. Luggage capacity: 2580 cubic inches. Dimensions: 18.5 W x 18.75 D x 12.25 H. Mounting racks and docking kits sold separately. TOUR-PAK LUGGAGE SMOOTH VINYL Styled to complement a wide variety of Softail seats and saddlebags this vinyl-wrapped Tour-Pak features fine-grain texturing with perforated side panels. The lockable lid opens wide for easy loading and the traditional rear straps add a finishing touch. Kit includes matching backrest pad. Luggage capacity: 2580 cubic inches. Dimensions: 18.5 W x 18.75 D x 12.25 H. Mounting racks and docking kits sold separately. COLOR-MATCHED RAZOR-PAK LUGGAGE (SHOWN WITH H-D DETACHABLES TWO-UP TOUR-PAK RACK AND BACKREST PAD) TOUR-PAK LUGGAGE Add cross-county luggage capacity to your ride with accessory Tour-Pak Luggage. A cavernous interior will hold one full-face helmet or two half helmets. Kit includes backrest pad interior rubber mat hardware and instructions. Luggage capacity: 2500 cubic inches. Dimensions: 18.5 W x 17.0 D x 13.0 H. Racks and docking kits sold separately. International models may require separate purchase of License Plate Relocation Kit P/N 60095-00A. LEATHER TOUR-PAK LOCK SET Designed to discourage grab-and-run theft this Lock Set provides a level of security that leather straps alone can't match. The complete kit includes external locking pushbutton latch release locking mechanism release cable two keys steel Tour-Pak lid mounting plate and all required installation hardware. Special order keyed-to-match lock sets are available for models with barrel-type keys. Contact your Dealer with your vehicle key code., Harley Davidson,  , Tags, , Title, Default Title, , , , , 53000570, ,,,,,552.46,649.95
tour-pak-luggageheritage-style-53000598, TOUR-PAK LUGGAGEHERITAGE STYLE  , TOUR-PAK LUGGAGE When you're serious about racking up miles Tour-Pak luggage systems will help you pack for the trip. You can carry all the rain gear clothing and camping equipment you need for a ride across the country or load it up with groceries on a run to the corner store. And when you arrive at your destination the Tour-Pak and its HoldFastTM Mounting Rack can be removed in seconds to return your bike to a stripped-down profile. The hard-shell body and lid open to reveal a cavernous interior that will hold one full face helmet or two half helmets. A. TOUR-PAK LUGGAGE HERITAGE STYLE Accented with twin rows of blacked-out rectangular studs this Tour-Pak is the perfect match for the seats and saddlebags on your Heritage Softail model. Wrapped in rich long-wearing vinyl this rigid-body Tour-Pak features a lockable lid for added security. Kit includes matching backrest pad. Luggage capacity: 2580 cubic inches. Dimensions: 18.5 W x 18.75 D x 12.25 H. Mounting racks and docking kits sold separately. COLOR-MATCHED RAZOR-PAK LUGGAGE (SHOWN WITH H-D DETACHABLES TWO-UP TOUR-PAK RACK AND BACKREST PAD) TOUR-PAK LUGGAGE Add cross-county luggage capacity to your ride with accessory Tour-Pak Luggage. A cavernous interior will hold one full-face helmet or two half helmets. Kit includes backrest pad interior rubber mat hardware and instructions. Luggage capacity: 2500 cubic inches. Dimensions: 18.5 W x 17.0 D x 13.0 H. Racks and docking kits sold separately. International models may require separate purchase of License Plate Relocation Kit P/N 60095-00A. LEATHER TOUR-PAK LOCK SET Designed to discourage grab-and-run theft this Lock Set provides a level of security that leather straps alone can't match. The complete kit includes external locking pushbutton latch release locking mechanism release cable two keys steel Tour-Pak lid mounting plate and all required installation hardware. Special order keyed-to-match lock sets are available for models with barrel-type keys. Contact your Dealer with your vehicle key code., Harley Davidson,  , Tags, , Title, Default Title, , , , , 53000598, ,,,,,552.46,649.95
leather-tour-pak-luggageclassic-53000599, LEATHER TOUR-PAK LUGGAGECLASSIC , TOUR-PAK LUGGAGE HERITAGE STYLE LEATHER TOUR-PAK LUGGAGE CLASSIC LEATHER Finished with traditional valise straps and brass buckles and hardware this leather-wrapped Tour-Pak is the perfect companion to the brass-trimmed saddlebags available for your nostalgic Harley-Davidson model. The lockable lid opens wide to simplify packing. Kit includes matching backrest pad. Luggage capacity: 2580 cubic inches. Dimensions: 18.5 W x 18.75 D x 12.25 H. Mounting racks and docking kits sold separately. COLOR-MATCHED RAZOR-PAK LUGGAGE (SHOWN WITH H-D DETACHABLES TWO-UP TOUR-PAK RACK AND BACKREST PAD) TOUR-PAK LUGGAGE Add cross-county luggage capacity to your ride with accessory Tour-Pak Luggage. A cavernous interior will hold one full-face helmet or two half helmets. Kit includes backrest pad interior rubber mat hardware and instructions. Luggage capacity: 2500 cubic inches. Dimensions: 18.5 W x 17.0 D x 13.0 H. Racks and docking kits sold separately. International models may require separate purchase of License Plate Relocation Kit P/N 60095-00A. LEATHER TOUR-PAK LOCK SET Designed to discourage grab-and-run theft this Lock Set provides a level of security that leather straps alone can't match. The complete kit includes external locking pushbutton latch release locking mechanism release cable two keys steel Tour-Pak lid mounting plate and all required installation hardware. Special order keyed-to-match lock sets are available for models with barrel-type keys. Contact your Dealer with your vehicle key code., Harley Davidson,  , Tags, , Title, Default Title, , , , , 53000599, ,,,,,594.96,699.95
analog-touring-suspension-54000033, ANALOG TOURING SUSPENSION , PROFILE LOW TOURING AIR SHOCKS* Lower the seat height of your Touring model without compromising the ride. The Profile Low Touring Shocks have been re-valved for a comfortable ride while lowering the seat height by up to .75. The kit maintains the air adjustability feature of the stock shocks. This pump was designed to allow safe and simple adjustment of the front and rear air suspension on Touring motorcycles. Unlike a bicycle pump or a fuel station air hose the hand-operated pump with controllable micro bleed valve allows precise adjustment to air volume and the no loss air connector maintains shock pressure when the fitting is removed. The swivel air hose simplifies valve stem attachment. B. PROFILE LOW TOURING AIR SHOCKS C. ANALOG TOURING SUSPENSION AIR PUMP Aluminum housing is compact lightweight and durable and fits easily into your bag for on-the-road adjustments. The highquality 0-60 psi gauge ensures accurate air pressure. Display units can easily be changed between PSI and KPa. The LCD readout operates on a long-lasting replaceable lithium coin-type battery (CR2032 3V P/N 66000107). H-D SMART SECURITY SYSTEM '07-LATER MODELS The H-D Smart Security System offers automatic self-arming and hands-free disarming for vehicle electronic security functions for your '07-later Harley motorcycle. The Hands-Free Fob communicates directly on its own unique and individualized frequency with the Hands-Free Security Module and Antenna. Attach the Hands-Free Fob to your vehicle ignition key ring. As you upright your vehicle or switch the ignition on the Hands-Free Fob will communicate the Security System disarm command allowing you to start your vehicle. After riding your vehicle park and switch the ignition off with your key. Within 5 seconds the Security System will automatically self-arm disabling your vehicle starter ignition and electronic fuel injection (EFI). The Smart Security System includes: Hands-Free Security Module (Integrated Security Sensor and Turn Signal Module or Body Control Module) 2 Hands-Free Fobs Antenna Module Antenna Harness and Antenna Mount (Dyna models). H-D FACTORY SECURITY SYSTEM '06-EARLIER MODELS Equip your '06-earlier Harley-Davidson VRSCTM Sportster Dyna Softail or Touring model with the security system designed and approved by The Harley-Davidson Motor Company. COMPACT TIRE GAUGE AND TREAD DEPTH INDICATOR WITH STAINLESS STEEL LEAD Back-lit Digital Tire Pressure Gauge is easy to read at any time of day. Providing accurate pressure readings in 0.50 psi increments up to 60 psi. Scale can be changed to read psi bar Kg or kPa pressure with the touch of a button. This versatile gauge features a 12 braided line and 90 degree angle chuck for easy access to valve stems and a tough rubber jacket to protect the gauge from damage. Batteries are included. Chrome-plated steel gauge housing with Harley-Davidson script and 90 degree air chuck. Dual range indicator for air pressure and tire tread depth readings. Calibrated for 10-50 psi and 0-32/32 tread depth readings. Rotate the indicator shaft 90 degrees in the housing for 70-345 kPa and 0-30mm tread depth readings. Complete with a Bar & Shield logo embossed leather pouch. Adjust air pressure in your Touring shocks anywhere on the road. This easy-to-adjust Digital Air Pump has a digital display for checking and altering pressure in the rear air shocks on all Touring motorcycles. Gauge can also be used to measure air pressure in your tires. Features micro bleed valve that allows precise adjustment of air pressure and the no loss air connector maintains shock pressure when the fitting is removed. Display units can easily be changed between PSI and KPa. The LCD readout operates on a long-lasting replaceable lithium coin-type battery (CR2032 3V P/N 66000107)., Harley Davidson,  , Tags, , Title, Default Title, , , , , 54000033, ,,,,,59.46,69.95
handlebar-clamp-filler-55800672, HANDLEBAR CLAMP FILLER , Recommended for installation of Clip-On Handlebars on XL1200X models. The Plug Kit fills the Original Equipment handlebar riser for a clean look., Harley Davidson,  , Tags, , Title, Default Title, , , , , 55800672, ,,,,,21.21,24.95
diamond-black-hand-gripsbar-55900114, DIAMOND-BLACK HAND GRIPSBAR , DIAMOND-BLACK HAND GRIPS BAR END MIRRORS Shroud your bike in mystery. This blacked-out hand and foot control collection features distinctive knurled surfaces that expose the raw billet aluminum for a dramatic contrast. Designed to age and break-in like a pair of comfortable stonewashed jeans the satin black finish will complement both high-gloss and denim paint colors. Designed for use with Bar End Mirrors these stripped-down Hand Grips feature glueless installation that can be easily removed for service without damage. Grip End Caps are sold separately. 56100202 For 7/8 Diameter Bar. $99.95 Fits '15-later XG models. Installation requires separate purchase of Bar End Mirrors P/N 56000133 and 56000134 or End Caps P/N 55900114. C. HAND GRIP END CAPS Easy to install smooth End Caps fill the open end of the Diamond-Black Bar End Mirror Hand Grips if you remove the mirrors or select to use only a single mirror. Sold individually. HANDLEBAR CLAMP FILLER PLUG DIAMOND-BLACK HAND GRIPS BAR END MIRRORS Shroud your bike in mystery. This blacked-out hand and foot control collection features distinctive knurled surfaces that expose the raw billet aluminum for a dramatic contrast. Designed to age and break-in like a pair of comfortable stone-washed jeans the satin black finish will complement both high-gloss and denim paint colors. Designed for use with Bar End Mirrors these stripped-down Hand Grips feature glueless installation that can be easily removed for service without damage. Grip End Caps are sold separately. 56100199 For 1 Diameter Bar. $99.95 Fits '02-'17 VRSC (except VRSCF) '96-later XL and XR '96'17 Dyna (except FXDLS) '96-'15 Softail (except FLSTNSE FXSBSE and '11-'12 FLSTSE) and '96-'07 Touring models. Installation requires separate purchase of Bar End Mirrors P/N 56000133 and 56000134 or End Caps P/N 55900114. ROUND BAR END MIRROR SATIN BLACK DIAMOND-BLACK HAND GRIPS BAR END MIRRORS Shroud your bike in mystery. This blacked-out hand and foot control collection features distinctive knurled surfaces that expose the raw billet aluminum for a dramatic contrast. Designed to age and break-in like a pair of comfortable stonewashed jeans the satin black finish will complement both high-gloss and denim paint colors. Designed for use with Bar End Mirrors these stripped-down Hand Grips feature glueless installation that can be easily removed for service without damage. Grip End Caps are sold separately. 56100199 For 1 Diameter Bar. $99.95 Fits '96-later VRSC XL XR Dyna (except FXDLS) '96-'15 Softail (except FLSTNSE FXSBSE and '11-'12 FLSTSE) and '96-'07 Touring models. Installation requires separate purchase of Bar End Mirrors P/N 56000133 and 56000134 or End Caps P/N 55900114. 56100202 For 7/8 Diameter Bar. $99.95 Fits '15-later XG models. Installation requires separate purchase of Bar End Mirrors P/N 56000133 and 56000134 or End Caps P/N 55900114. C. EDGE CUT DOME MIRRORS* Keep an eye on everything while everyone keeps an eye on you. These compact billet mirrors feature glass-smooth domed shells and wet-look black surfaces to reflect a new contemporary style. The mirrors feature a precision machined edge that exposes three bands of satin aluminum for a brilliant contrast and sleek round stems to keep the mirrors close to the controls for a tight tucked-in profile., Harley Davidson,  , Tags, , Title, Default Title, , , , , 55900114, ,,,,,84.96,99.95
tapered-fairing-mount-mirrors-56000076, TAPERED FAIRING MOUNT MIRRORS , Reflect your personal style. These slim forged aluminum Fairing Mount Mirrors minimize the profile at the edges of the Batwing Fairing for a clean custom look. The singlestalk mount permits a wide range of adjustability and the convex mirror face maximizes the field of view. The mirrors are designed as a direct replacement for the Street Glide model's Original Equipment mirrors and can be installed on other Batwing fairing-equipped models in place of handlebarmounted mirrors. Tapered Fairing Mirrors are available in your choice of polished chrome or gloss black Edge Cut finish to match your styling direction. TAPERED FAIRING MOUNT MIRRORS CHROME Fairing Mount Mirrors offer a truly innovative look from the traditional handlebar-mounted mirrors. Mounting just inside the inner fairing the molded plastic mirror housings complement the contours of the batwing fairing. They provide a wide range of adjustability and feature convex mirror glass that maximizes your field of view. The Bar & Shield logo is carefully laser-etched on each mirror glass. Kit includes necessary hardware instructions and mounting template for easy installation. TAPERED FAIRING MOUNT MIRRORS* Reflect your personal style. These slim forged aluminum Fairing Mount Mirrors minimize the profile at the edges of the Batwing Fairing for a clean custom look. The singlestalk mount permits a wide range of adjustability and the convex mirror face maximizes the field of view. The mirrors are designed as a direct replacement for the Street Glide model's Original Equipment mirrors and can be installed on other Batwing fairing-equipped models in place of handlebarmounted mirrors. Tapered Fairing Mirrors are available in your choice of polished chrome or gloss black Edge Cut finish to match your styling direction. TAPERED FAIRING MOUNT MIRRORS CHROME FAIRING MOUNT MIRRORS BLACK* Fairing Mount Mirrors offer a truly innovative look from the traditional handlebar-mounted mirrors. Mounting just inside the inner fairing the molded plastic mirror housings complement the contours of the batwing fairing. They provide a wide range of adjustability and feature convex mirror glass that maximizes your field of view. The Bar & Shield logo is carefully laser-etched on each mirror glass. Kit includes necessary hardware instructions and mounting template for easy installation., Harley Davidson,  , Tags, , Title, Default Title, , , , , 56000076, ,,,,,99.95,99.95 99.95
fairing-mount-mirrorsblack-56000077, FAIRING MOUNT MIRRORSBLACK , TAPERED FAIRING MOUNT MIRRORS CHROME Fairing Mount Mirrors offer a truly innovative look from the traditional handlebar-mounted mirrors. Mounting just inside the inner fairing the molded plastic mirror housings complement the contours of the batwing fairing. They provide a wide range of adjustability and feature convex mirror glass that maximizes your field of view. The Bar & Shield logo is carefully laser-etched on each mirror glass. Kit includes necessary hardware instructions and mounting template for easy installation. Add a splash of chrome to the batwing inner fairing. These Fairing Mount Mirrors de-clutter the handlebar and add a contemporary aero style to your ride. The attractive chrome housing provides a custom look and the convex mirror and wide range of adjustment maximizes your field of view. A direct bolt-on replacement for Original Equipment fairing mount mirrors the kit includes the hardware and mounting template required for easy and accurate installation on many models. TAPERED FAIRING MOUNT MIRRORS CHROME FAIRING MOUNT MIRRORS BLACK* Fairing Mount Mirrors offer a truly innovative look from the traditional handlebar-mounted mirrors. Mounting just inside the inner fairing the molded plastic mirror housings complement the contours of the batwing fairing. They provide a wide range of adjustability and feature convex mirror glass that maximizes your field of view. The Bar & Shield logo is carefully laser-etched on each mirror glass. Kit includes necessary hardware instructions and mounting template for easy installation. FAIRING MOUNT MIRRORS CHROME* Add a splash of chrome to the batwing inner fairing. These Fairing Mount Mirrors de-clutter the handlebar and add a contemporary aero style to your ride. The attractive chrome housing provides a custom look and the convex mirror and wide range of adjustment maximizes your field of view. A direct bolt-on replacement for Original Equipment fairing mount mirrors the kit includes the hardware and mounting template required for easy and accurate installation., Harley Davidson,  , Tags, , Title, Default Title, , , , , 56000077, ,,,,,134.95,134.95 134.95
fairing-mount-mirrorsblack-56000084, FAIRING MOUNT MIRRORSBLACK , Fairing Mount Mirrors offer a truly innovative look from the traditional handlebar-mounted mirrors. Mounting just inside the inner fairing the molded plastic mirror housings complement the contours of the batwing fairing. They provide a wide range of adjustability and feature convex mirror glass that maximizes your field of view. The Bar & Shield logo is carefully laser-etched on each mirror glass. Kit includes necessary hardware instructions and mounting template for easy installation. Add a splash of chrome to the batwing inner fairing. These Fairing Mount Mirrors de-clutter the handlebar and add a contemporary aero style to your ride. The attractive chrome housing provides a custom look and the convex mirror and wide range of adjustment maximizes your field of view. A direct bolt-on replacement for Original Equipment fairing mount mirrors the kit includes the hardware and mounting template required for easy and accurate installation on many models. TAPERED FAIRING MOUNT MIRRORS EDGE CUT Add auxiliary LED turn signals and a splash of chrome to the inner fairing. The perfect finishing touch to a fully-dressed inner fairing these chrome-plated mirror housings feature fast-acting amber LED turn signals at the outer edge. Side turn signals attract attention from the drivers around you and the plug-in no-splice design simplifies installation. 56000084 $139.95 Fits '14-later Touring and Trike models with fairing-mount mirrors. Does not fit with Split Vision Fairing Mount Mirrors P/N 92085-10 or Tapered Fairing Mount Mirrors P/N 56000098A or 56000099A. 92600-10 $139.95 Fits '06-'13 FLHX and FLHXSE Electra Glide and '10-'11 FLHXXX models equipped with Fairing Mount Mirrors P/N 91945-98B. Does not fit with Split Vision Fairing Mount Mirrors P/N 92085-10. WINDSHIELD TRIM MIRROR MOUNTING KIT* Put your best look front and center. This Windshield Trim Kit adds a finishing touch to the base of the windshield and positions the rear view mirrors (sold separately) at the fairing's upper edge. The sweeping arms place the mirror shell in a high-mount location and permit a wide range of up-downfore-aft adjustability. You get a clean looking handlebar or inner fairing and a great rear view past your shoulders. Kit includes 3-piece trim and all required mounting hardware. Mirrors sold separately. WINDSHIELD TRIM MIRROR MOUNTING KIT (SHOWN WITH TAPERED WINDSHIELD TRIM MIRRORS) WINDSHIELD TRIM MIRRORS TAPERED* These Tapered Mirrors are a stylish addition to the Windshield Trim Mirror Mounting Kit P/N 57400254. The mirror provides a large reflective face for a great view to the rear while the sculpted teardrop-shaped shell is styled to minimize the visual profile. Designed for easy installation and a wide range of adjustability this kit includes left and right-hand mirror heads. Add auxiliary LED turn signals and a splash of chrome to the inner fairing. The perfect finishing touch to a fully dressed inner fairing these chrome-plated mirror housings feature fast-acting amber LED turn signals at the outer edge. Side turn signals attract attention from the drivers around you and the plug-in no-splice design simplifies installation. 56000084 $139.95 Fits '14-later Touring and Trike models with fairing-mount mirrors. Does not fit with Split Vision Fairing Mount Mirrors P/N 92085-10 or Tapered Fairing Mount Mirrors P/N 56000098A or 56000099A. 92600-10 $139.95 Fits '06-'13 FLHX and FLHXSE Electra Glide and '10-'11 FLHXXX models equipped with Fairing Mount Mirrors P/N 91945-98B. Does not fit with Split Vision Fairing Mount Mirrors P/N 92085-10., Harley Davidson,  , Tags, , Title, Default Title, , , , , 56000084, ,,,,,139.95,139.95 139.95
diamond-black-hand-gripsbar-56000090, DIAMOND-BLACK HAND GRIPSBAR , DEFIANCE COLLECTION HAND AND FOOT CONTROLS CHROME BURST COLLECTION FOOT CONTROLS EDGE CUT DOME MIRRORS* Keep an eye on everything while everyone keeps an eye on you. These compact billet mirrors feature glass-smooth domed shells and wet-look black surfaces to reflect a new contemporary style. The mirrors feature a precision machined edge that exposes three bands of satin aluminum for a brilliant contrast and sleek round stems to keep the mirrors close to the controls for a tight tucked-in profile. ROUND BAR END MIRROR SATIN BLACK DIAMOND-BLACK HAND GRIPS BAR END MIRRORS Shroud your bike in mystery. This blacked-out hand and foot control collection features distinctive knurled surfaces that expose the raw billet aluminum for a dramatic contrast. Designed to age and break-in like a pair of comfortable stonewashed jeans the satin black finish will complement both high-gloss and denim paint colors. Designed for use with Bar End Mirrors these stripped-down Hand Grips feature glueless installation that can be easily removed for service without damage. Grip End Caps are sold separately. 56100199 For 1 Diameter Bar. $99.95 Fits '96-later VRSC XL XR Dyna (except FXDLS) '96-'15 Softail (except FLSTNSE FXSBSE and '11-'12 FLSTSE) and '96-'07 Touring models. Installation requires separate purchase of Bar End Mirrors P/N 56000133 and 56000134 or End Caps P/N 55900114. 56100202 For 7/8 Diameter Bar. $99.95 Fits '15-later XG models. Installation requires separate purchase of Bar End Mirrors P/N 56000133 and 56000134 or End Caps P/N 55900114. C. EDGE CUT DOME MIRRORS* Keep an eye on everything while everyone keeps an eye on you. These compact billet mirrors feature glass-smooth domed shells and wet-look black surfaces to reflect a new contemporary style. The mirrors feature a precision machined edge that exposes three bands of satin aluminum for a brilliant contrast and sleek round stems to keep the mirrors close to the controls for a tight tucked-in profile., Harley Davidson,  , Tags, , Title, Default Title, , , , , 56000090, ,,,,,195.46,229.95
windshield-trim-mirror-56000091, WINDSHIELD TRIM MIRROR , Put your best look front and center. This Windshield Trim Kit adds a finishing touch to the base of the windshield and positions the rear view mirrors (sold separately) at the fairing's upper edge. The sweeping arms place the mirror shell in a high-mount location and permit a wide range of up-downfore-aft adjustability. You get a clean looking handlebar or inner fairing and a great rear view past your shoulders. Kit includes 3-piece trim and all required mounting hardware. Mirrors sold separately. ILLUMINATED WINDSHIELD TRIM CHROME WINDSHIELD TRIM MIRROR MOUNTING KIT* Put your best look front and center. This Windshield Trim Kit adds a finishing touch to the base of the windshield and positions the rear view mirrors (sold separately) at the fairing's upper edge. The sweeping arms place the mirror shell in a high-mount location and permit a wide range of up-downfore-aft adjustability. You get a clean looking handlebar or inner fairing and a great rear view past your shoulders. Kit includes 3-piece trim and all required mounting hardware. Mirrors sold separately. WINDSHIELD TRIM MIRROR MOUNTING KIT (SHOWN WITH TAPERED WINDSHIELD TRIM MIRRORS) WINDSHIELD TRIM MIRRORS TAPERED* These Tapered Mirrors are a stylish addition to the Windshield Trim Mirror Mounting Kit P/N 57400254. The mirror provides a large reflective face for a great view to the rear while the sculpted teardrop-shaped shell is styled to minimize the visual profile. Designed for easy installation and a wide range of adjustability this kit includes left and right-hand mirror heads. Add auxiliary LED turn signals and a splash of chrome to the inner fairing. The perfect finishing touch to a fully dressed inner fairing these chrome-plated mirror housings feature fast-acting amber LED turn signals at the outer edge. Side turn signals attract attention from the drivers around you and the plug-in no-splice design simplifies installation. 56000084 $139.95 Fits '14-later Touring and Trike models with fairing-mount mirrors. Does not fit with Split Vision Fairing Mount Mirrors P/N 92085-10 or Tapered Fairing Mount Mirrors P/N 56000098A or 56000099A. 92600-10 $139.95 Fits '06-'13 FLHX and FLHXSE Electra Glide and '10-'11 FLHXXX models equipped with Fairing Mount Mirrors P/N 91945-98B. Does not fit with Split Vision Fairing Mount Mirrors P/N 92085-10. WINDSHIELD TRIM MIRRORS TAPERED (SHOWN WITH WINDSHIELD TRIM MIRROR MOUNTING KIT), Harley Davidson,  , Tags, , Title, Default Title, , , , , 56000091, ,,,,,127.46,149.95
