eagle-fairing-decal-14093-84, EAGLE FAIRING DECAL  , FUEL TANK NAMEPLATE AND ADAPTER KITS Gives your fairing that custom look. Multi-colored. Made in the U.S.A. 14093-84 Black Background. $39.95 Eagle decal fits '13-earlier FL FLH and FLHT fairings., Harley Davidson,  , , , Title, Default Title, , , , , 14093-84, ,,,,,33.96,39.95
screamin'-eagle-hydraulic-2-cam-chain-tensioner-and-high-flow-oil-pump-upgrade-kit-17045-99D, SCREAMIN' EAGLE HYDRAULIC 2 CAM CHAIN TENSIONER AND HIGH-FLOW OIL PUMP UPGRADE KIT  , SCREAMIN' EAGLE BILLET CAM SUPPORT PLATE 2 WITH HIGH-VOLUME OIL PUMP A great upgrade for any performance motor. The Billet Cam Support Plate is manufactured from billet aluminum with pressed-in bronze bushings and is pre-assembled with the crankshaft bushing and oil pressure relief valve. Aluminum is specified at 6061 billet plate heat-treated to T6 specifications with a surface-hardened anodized finish to provide superior strength rigidity and durability. CNC-precision machining ensures precise dimensions and constant material thickness across the plate enabling perfect alignment of cams and chains. Cam bushings are made from 660 bronze materials to provide enhanced wear resistance and to stand up to increased loads from the high lift cams common in large displacement motors. The improved Screamin' Eagle highflow oil pump provides higher pressure when the oil is hot to keep pressure drops to a minimum and increases the oil supply by 16% and the scavenging by 29% over the '06-'17 Original Equipment oil pump. SCREAMIN' EAGLE BILLET CAM SUPPORT PLATE WITH HIGH-VOLUME OIL PUMP SCREAMIN' EAGLE HYDRAULIC 2 CAM CHAIN TENSIONER AND HIGH-FLOW OIL PUMP UPGRADE KIT This kit updates the cam chain tensioner of your Twin Cam 88 engine to the latest design as featured on the Twin Cam 96TM engine. The billet cam support plate has been designed to allow the installation of the Twin Cam 96 hydraulic cam chain tensioner to Twin Cam 88-equipped models. These Hydraulic Cam Chain Tensioners will significantly outlast the spring loaded tensioners and are an ideal addition to an engine modified for improved performance. In addition '02-'06 models utilize a Twin Cam 96 single row front roller chain and sprocket (included in kit). '99-'01 models use Original Equipment front silent chain and sprocket to retain the cam position sensor function. The kit includes an improved Screamin' Eagle HighFlow Oil Pump that provides increased oil pressure at highoperating temperatures. This kit increases the oil supply by 23% and scavenging by 50% when compared to the '99-'05 Original Equipment oil pump and reduces operating temperature of bearings to improve bearing life., Harley Davidson,  , , , Title, Default Title, , , , , 17045-99D, ,,,,,365.46,429.95
screamin'-eagle-street-performance-slip-on-shorty-dual-mufflers-chrom-17048-98, SCREAMIN' EAGLE STREET PERFORMANCE SLIP-ON SHORTY DUAL MUFFLERS CHROM , SCREAMIN' EAGLE STREET PERFORMANCE SLIP-ON SHORTY DUAL MUFFLERS CHROME, Harley Davidson,  , , , Title, Default Title, , , , , 17048-98, ,,,,,,
chrome-engine-kit-twin-cam-(16327-06b-shown-17528-92, CHROME ENGINE KIT TWIN CAM (16327-06B SHOWN , EVOLUTION 1340 ENGINE COVERS CHROME CHROME ENGINE KIT TWIN CAM (16327-06B SHOWN), Harley Davidson,  , , , Title, Default Title, , , , , 17528-92, ,,,,,80.71,94.95
chrome-engine-kit-twin-cam-(16327-06b-shown-17529-92, CHROME ENGINE KIT TWIN CAM (16327-06B SHOWN , CHROME ENGINE KIT TWIN CAM (16327-06B SHOWN), Harley Davidson,  , , , Title, Default Title, , , , , 17529-92, ,,,,,63.71,74.95
chrome-engine-kit-twin-cam-(16327-06b-shown-17530-92, CHROME ENGINE KIT TWIN CAM (16327-06B SHOWN , CHROME ENGINE KIT TWIN CAM (16327-06B SHOWN), Harley Davidson,  , , , Title, Default Title, , , , , 17530-92, ,,,,,110.46,129.95
chrome-engine-covers-17537-07A, CHROME ENGINE COVERS  , Dress the engine of your Sportster model in chrome. These polished and chrome-plated components are manufactured to Original Equipment specifications for exact fit and finish., Harley Davidson,  , , , Title, Default Title, , , , , 17537-07A, ,,,,,297.46,349.95
chrome-engine-covers-17537-96C, CHROME ENGINE COVERS  , Dress the engine of your Sportster model in chrome. These polished and chrome-plated components are manufactured to Original Equipment specifications for exact fit and finish., Harley Davidson,  , , , Title, Default Title, , , , , 17537-96C, ,,,,,297.46,349.95
chrome-engine-covers-17551-04, CHROME ENGINE COVERS  , Dress the engine of your Sportster model in chrome. These polished and chrome-plated components are manufactured to Original Equipment specifications for exact fit and finish., Harley Davidson,  , , , Title, Default Title, , , , , 17551-04, ,,,,,297.46,349.95
twin-cam-engine-covers-chrome-17572-99, TWIN CAM ENGINE COVERS CHROME  , Dress the engine of your Twin Cam-equipped model in chrome. These chrome-plated components are manufactured to Original Equipment specifications for exact fit and finish., Harley Davidson,  , , , Title, Default Title, , , , , 17572-99, ,,,,,97.71,114.95
twin-cam-engine-covers-chrome-17573-99A, TWIN CAM ENGINE COVERS CHROME  , Dress the engine of your Twin Cam-equipped model in chrome. These chrome-plated components are manufactured to Original Equipment specifications for exact fit and finish., Harley Davidson,  , , , Title, Default Title, , , , , 17573-99A, ,,,,,97.71,114.95
twin-cam-engine-covers-wrinkle-black-17618-99A, TWIN CAM ENGINE COVERS WRINKLE BLACK  , TWIN CAM ENGINE COVERS GLOSS BLACK TWIN CAM ENGINE COVERS GLOSS BLACK These black powder-coated engine covers are the perfect start in converting your powertrain to a striking wrinkle black look. Manufactured from Original Equipment components these covers are masked and painted on the factory production paint line to ensure a matching wrinkle black or texture black finish and a perfect fit. Complete the blacked-out look with matching primary covers rocker housings rocker covers cam covers and transmission covers (sold separately). 60758-06A Primary Cover. $269.95 Fits '06-'17 Dyna models with mid-controls. 60717-07A Primary Cover. $269.95 Fits '07-'17 Softail models. Also fits '06-'17 FLD and Dyna models equipped with factory forward controls. 60706-09A Primary Cover. $269.95 Fits '07-'15 Touring and Trike models (except FLHTCUL or FLHTKL). 60715-99B Primary Cover. $269.95 Fits '99-'05 Dyna and '99-'06 Softail models. 17620-99 Rocker Box Cover. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 17618-99A Rocker Box Lower Housing. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 25364-01B Cam Cover. $139.95 Fits '01-'17 Dyna Softail and '01-'16 Touring and Trike models (except '01 EFI Touring). 37135-06 Transmission Side Cover. $74.95 Fits '06-'17 Dyna (except FXDLS) '07-'17 Softail (except FLSS FLSTFBS FXCW FXCWC FXSB and FXSE) and '07-'16 Touring and Trike models. Does not fit models equipped with a hydraulic clutch. 37189-99 Transmission Side Cover. $129.95 Fits '99-'05 Dyna '00-'06 Softail and '99-'06 Touring models. 34521-06B Transmission Top Cover. $74.95 Fits '06-'17 Dyna and '07-'17 Softail '07-'16 Touring and Trike models. 60713-07 Derby Cover. $39.95 Fits '06-'17 Dyna and '07-'17 Softail and '07-'15 Touring and Trike models (except FLHTCUL FLHTKL or '07-'15 Touring or Trike models equipped with Narrow-Profile Outer Primary Cover P/N 25700385 or 25700438). 60713-99 Derby Cover. $39.95 Fits '99-'05 Dyna and '99-'06 Softail and Touring models., Harley Davidson,  , , , Title, Default Title, , , , , 17618-99A, ,,,,,229.46,269.95
twin-cam-engine-covers-wrinkle-black-17620-99, TWIN CAM ENGINE COVERS WRINKLE BLACK  , TWIN CAM ENGINE COVERS GLOSS BLACK TWIN CAM ENGINE COVERS GLOSS BLACK These black powder-coated engine covers are the perfect start in converting your powertrain to a striking wrinkle black look. Manufactured from Original Equipment components these covers are masked and painted on the factory production paint line to ensure a matching wrinkle black or texture black finish and a perfect fit. Complete the blacked-out look with matching primary covers rocker housings rocker covers cam covers and transmission covers (sold separately). 60758-06A Primary Cover. $269.95 Fits '06-'17 Dyna models with mid-controls. 60717-07A Primary Cover. $269.95 Fits '07-'17 Softail models. Also fits '06-'17 FLD and Dyna models equipped with factory forward controls. 60706-09A Primary Cover. $269.95 Fits '07-'15 Touring and Trike models (except FLHTCUL or FLHTKL). 60715-99B Primary Cover. $269.95 Fits '99-'05 Dyna and '99-'06 Softail models. 17620-99 Rocker Box Cover. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 17618-99A Rocker Box Lower Housing. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 25364-01B Cam Cover. $139.95 Fits '01-'17 Dyna Softail and '01-'16 Touring and Trike models (except '01 EFI Touring). 37135-06 Transmission Side Cover. $74.95 Fits '06-'17 Dyna (except FXDLS) '07-'17 Softail (except FLSS FLSTFBS FXCW FXCWC FXSB and FXSE) and '07-'16 Touring and Trike models. Does not fit models equipped with a hydraulic clutch. 37189-99 Transmission Side Cover. $129.95 Fits '99-'05 Dyna '00-'06 Softail and '99-'06 Touring models. 34521-06B Transmission Top Cover. $74.95 Fits '06-'17 Dyna and '07-'17 Softail '07-'16 Touring and Trike models. 60713-07 Derby Cover. $39.95 Fits '06-'17 Dyna and '07-'17 Softail and '07-'15 Touring and Trike models (except FLHTCUL FLHTKL or '07-'15 Touring or Trike models equipped with Narrow-Profile Outer Primary Cover P/N 25700385 or 25700438). 60713-99 Derby Cover. $39.95 Fits '99-'05 Dyna and '99-'06 Softail and Touring models., Harley Davidson,  , , , Title, Default Title, , , , , 17620-99, ,,,,,229.46,269.95
wrinkle-black-engine-covers-17645-07A, WRINKLE BLACK ENGINE COVERS  , These black powder-coated engine covers are the perfect start in converting your powertrain to a striking wrinkle black look. Manufactured from Original Equipment components these covers are masked and painted on the factory production paint line to ensure a matching wrinkle black or texture black finish and a perfect fit. Complete the blacked-out look with matching primary covers rocker housings rocker covers cam covers and transmission covers (sold separately)., Harley Davidson,  , , , Title, Default Title, , , , , 17645-07A, ,,,,,314.46,369.95
wrinkle-black-engine-covers-17655-05, WRINKLE BLACK ENGINE COVERS  , These black powder-coated engine covers are the perfect start in converting your powertrain to a striking wrinkle black look. Manufactured from Original Equipment components these covers are masked and painted on the factory production paint line to ensure a matching wrinkle black or texture black finish and a perfect fit. Complete the blacked-out look with matching primary covers rocker housings rocker covers cam covers and transmission covers (sold separately)., Harley Davidson,  , , , Title, Default Title, , , , , 17655-05, ,,,,,314.46,369.95
oil-pressure-gauge-kit-17658-03, OIL PRESSURE GAUGE KIT  , Keep an eye on your engine's vital signs. This Oil Pressure Gauge features a brilliant blue easy-to-read digital display that shines through a mirror-coated glass when the ignition is turned on. The readout is invisible when not in use. A photocell automatically adjusts the display's brightness to improve visibility in direct sunlight or to dim the display at night to avoid distraction. The display can be toggled between PSI and BAR pressure readings. Kit includes die-cast mounting bracket with gauge pressure sensor and wiring harness. Check your oil pressure at a glance with this oil-filled Pressure Gauge Kit specifically designed to look good fit right and perform properly on your Twin Cam-equipped motorcycle. The custom mounting brackets have been polished and chrome-plated to rigid Harley-Davidson standards and the gauge offers premium reliability. The kit includes all necessary hardware and mounting brackets for quick and clean installation., Harley Davidson,  , , , Title, Default Title, , , , , 17658-03, ,,,,,212.46,249.95
twin-cam-engine-covers-gloss-black-17707-11, TWIN CAM ENGINE COVERS GLOSS BLACK  , These engine covers are the perfect start in converting your powertrain to an elegant tuxedo black look. Manufactured from Original Equipment components to ensure a perfect fit these covers are masked and coated with temperature-resistant paint to ensure a long-lasting finish. Complete the look with matching primary covers rocker housings rocker covers cam covers and transmission covers (sold separately). 25700021A Primary Cover. $269.95 Fits '06-'17 Dyna models with mid-controls. 60876-11A Primary Cover. $269.95 Fits '07-'17 Softail models. Also fits '06-'17 FLD and Dyna models equipped with factory forward controls. Will not fit with Accessory Forward Controls. 60886-11A Primary Cover. $269.95 Fits '07-'15 Touring and Trike models (except FLHTCUL and FLHTKL). 25700438 Narrow Primary Cover. $269.95 Fits '07-'16 Touring and Trike models. Installation requires separate purchase of narrow derby cover derby cover gasket and primary gasket. Chrome is Original Equipment on '15-'16 FLHTCUL and FLHTKL and '16 Touring and Trike models. 17707-11 Rocker Box Cover. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 17709-11 Rocker Box Lower Housing. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 37198-11 Cam Cover. $139.95 Fits '01-'17 Dyna Softail and '01-'16 Touring and Trike models (except '01 EFI Touring). 37193-11 Transmission Side Cover. $74.95 Fits '06-'17 Dyna (except FXDLS) and '07-'17 Softail (except FLSS FLSTFBS FXCW FXCWC FXSB and FXSE) and '07-'16 Touring and Trike models. Does not fit models equipped with a hydraulic clutch. 25700180 Transmission Side Cover. $89.95 Fits '13-'16 Touring and Trike models equipped with hydraulic clutch. 37195-11 Transmission Top Cover. $74.95 Fits '06-'17 Dyna and '07-later Softail and '07-'16 Touring and Trike models. 25700020 Derby Cover. $39.95 Fits '06-'17 Dyna and '07-later Softail and '07-'15 Touring and Trike models (except FLHTCUL FLHTKL or '07-'15 Touring or Trike models equipped with Narrow-Profile Outer Primary Cover P/N 25700385 or 25700438). 25700477 Derby Cover. $44.95 Fits '16-later Touring and Trike and '15-later FLHTCUL and FLHTKL models. Also fits '07-later Touring and Trike models equipped with Narrow-Profile Outer Primary Cover P/N 25700385 or 25700438. 25600074 Timer Cover. $25.95 Fits '99-'17 Twin Cam-equipped models., Harley Davidson,  , , , Title, Default Title, , , , , 17707-11, ,,,,,229.46,269.95
twin-cam-engine-covers-gloss-black-17709-11, TWIN CAM ENGINE COVERS GLOSS BLACK  , These engine covers are the perfect start in converting your powertrain to an elegant tuxedo black look. Manufactured from Original Equipment components to ensure a perfect fit these covers are masked and coated with temperature-resistant paint to ensure a long-lasting finish. Complete the look with matching primary covers rocker housings rocker covers cam covers and transmission covers (sold separately). 25700021A Primary Cover. $269.95 Fits '06-'17 Dyna models with mid-controls. 60876-11A Primary Cover. $269.95 Fits '07-'17 Softail models. Also fits '06-'17 FLD and Dyna models equipped with factory forward controls. Will not fit with Accessory Forward Controls. 60886-11A Primary Cover. $269.95 Fits '07-'15 Touring and Trike models (except FLHTCUL and FLHTKL). 25700438 Narrow Primary Cover. $269.95 Fits '07-'16 Touring and Trike models. Installation requires separate purchase of narrow derby cover derby cover gasket and primary gasket. Chrome is Original Equipment on '15-'16 FLHTCUL and FLHTKL and '16 Touring and Trike models. 17707-11 Rocker Box Cover. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 17709-11 Rocker Box Lower Housing. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 37198-11 Cam Cover. $139.95 Fits '01-'17 Dyna Softail and '01-'16 Touring and Trike models (except '01 EFI Touring). 37193-11 Transmission Side Cover. $74.95 Fits '06-'17 Dyna (except FXDLS) and '07-'17 Softail (except FLSS FLSTFBS FXCW FXCWC FXSB and FXSE) and '07-'16 Touring and Trike models. Does not fit models equipped with a hydraulic clutch. 25700180 Transmission Side Cover. $89.95 Fits '13-'16 Touring and Trike models equipped with hydraulic clutch. 37195-11 Transmission Top Cover. $74.95 Fits '06-'17 Dyna and '07-later Softail and '07-'16 Touring and Trike models. 25700020 Derby Cover. $39.95 Fits '06-'17 Dyna and '07-later Softail and '07-'15 Touring and Trike models (except FLHTCUL FLHTKL or '07-'15 Touring or Trike models equipped with Narrow-Profile Outer Primary Cover P/N 25700385 or 25700438). 25700477 Derby Cover. $44.95 Fits '16-later Touring and Trike and '15-later FLHTCUL and FLHTKL models. Also fits '07-later Touring and Trike models equipped with Narrow-Profile Outer Primary Cover P/N 25700385 or 25700438. 25600074 Timer Cover. $25.95 Fits '99-'17 Twin Cam-equipped models., Harley Davidson,  , , , Title, Default Title, , , , , 17709-11, ,,,,,229.46,269.95
twin-cam-engine-covers-chrome-17964-99, TWIN CAM ENGINE COVERS CHROME  , Dress the engine of your Twin Cam-equipped model in chrome. These chrome-plated components are manufactured to Original Equipment specifications for exact fit and finish., Harley Davidson,  , , , Title, Default Title, , , , , 17964-99, ,,,,,97.71,114.95
twin-cam-engine-covers-chrome-17966-99, TWIN CAM ENGINE COVERS CHROME  , Dress the engine of your Twin Cam-equipped model in chrome. These chrome-plated components are manufactured to Original Equipment specifications for exact fit and finish., Harley Davidson,  , , , Title, Default Title, , , , , 17966-99, ,,,,,97.71,114.95
screamin'-eagle-performance-2-valve-spring-kit-18013-03A, SCREAMIN' EAGLE PERFORMANCE 2 VALVE SPRING KIT  , SCREAMIN' EAGLE HIGH-CAPACITY TAPPETS 2 Screamin' Eagle Tappets feature large high capacity needles in the roller bearing assembly to improve reliability when operating with high lift cams high pressure valve springs and in high RPM applications. The 25% larger needle bearings increase the dynamic load rating by approximately 20% when compared to the Original Equipment Twin Cam tappets. The unique design delivers superior tappet life in performance applications. Set of 4. SCREAMIN' EAGLE PERFORMANCE 2 VALVE SPRING KIT* This performance beehive-shaped Valve Spring Kit will permit the Sportster engine to rev to 7000 RPM. The unique ovate wire yields increased performance from a compact spring design. The installed spring pressure is increased to 208 lbs and allows a maximum lift of .590. Complete kit includes springs upper collars and keepers and lower collars with integral valve seals. SCREAMIN' EAGLE PERFORMANCE II SE-585 CAM KIT SPORTSTER The high-lift full throttle cam kit provides significant horsepower gains when coupled with high-flowing exhaust and intake components and is a great fit for full-throttle horsepower junkies. 50-State U.S. EPA compliant. SCREAMIN' EAGLE HIGH-CAPACITY TAPPETS 2 Screamin' Eagle Tappets feature large high capacity needles in the roller bearing assembly to improve reliability when operating with high lift cams high pressure valve springs and in high RPM applications. The 25% larger needle bearings increase the dynamic load rating by approximately 20% when compared to the Original Equipment Twin Cam tappets. The unique design delivers superior tappet life in performance applications. Set of 4. SCREAMIN' EAGLE PERFORMANCE 2 VALVE SPRING KIT This performance beehive-shaped Valve Spring Kit will permit the Sportster engine to rev to 7000 RPM. The unique ovate wire yields increased performance from a compact spring design. The installed spring pressure is increased to 208 lbs and allows a maximum lift of .590. Complete kit includes springs upper collars and keepers and lower collars with integral valve seals., Harley Davidson,  , , , Title, Default Title, , , , , 18013-03A, ,,,,,280.46,329.95
tappet-block-accent-18088-02, TAPPET BLOCK ACCENT  , INNER PRIMARY COVER TRIM CHROME (TOURING AND TRIKE SHOWN) Add a finished chrome look to the left side of your Twin Cam engine. This easy-to-install kit includes all necessary mounting hardware. Shaped to fill the gap between the tappet blocks this unique cover adds a splash of chrome to the profile of your engine. The die-cast cover is polished and chrome-plated to a mirror finish. Easy to install., Harley Davidson,  , , , Title, Default Title, , , , , 18088-02, ,,,,,67.96,79.95
tappet-block-accent-18248-99, TAPPET BLOCK ACCENT  , INNER PRIMARY COVER TRIM CHROME (TOURING AND TRIKE SHOWN) Add a finished chrome look to the left side of your Twin Cam engine. This easy-to-install kit includes all necessary mounting hardware. Shaped to fill the gap between the tappet blocks this unique cover adds a splash of chrome to the profile of your engine. The die-cast cover is polished and chrome-plated to a mirror finish. Easy to install., Harley Davidson,  , , , Title, Default Title, , , , , 18248-99, ,,,,,67.96,79.95
tappet-block-accent-18262-00, TAPPET BLOCK ACCENT  , INNER PRIMARY COVER TRIM CHROME (TOURING AND TRIKE SHOWN) Add a finished chrome look to the left side of your Twin Cam engine. This easy-to-install kit includes all necessary mounting hardware. Shaped to fill the gap between the tappet blocks this unique cover adds a splash of chrome to the profile of your engine. The die-cast cover is polished and chrome-plated to a mirror finish. Easy to install., Harley Davidson,  , , , Title, Default Title, , , , , 18262-00, ,,,,,67.96,79.95
tappet-block-accent-18278-06, TAPPET BLOCK ACCENT  , INNER PRIMARY COVER TRIM CHROME (TOURING AND TRIKE SHOWN) Add a finished chrome look to the left side of your Twin Cam engine. This easy-to-install kit includes all necessary mounting hardware. Shaped to fill the gap between the tappet blocks this unique cover adds a splash of chrome to the profile of your engine. The die-cast cover is polished and chrome-plated to a mirror finish. Easy to install., Harley Davidson,  , , , Title, Default Title, , , , , 18278-06, ,,,,,67.96,79.95
screamin'-eagle-premium-tapered-2-quick-install-adjustable-pushrods-18404-08, SCREAMIN' EAGLE PREMIUM TAPERED 2 QUICK-INSTALL ADJUSTABLE PUSHRODS  , SCREAMIN' EAGLE PREMIUM TAPERED 2 QUICK-INSTALL ADJUSTABLE PUSHRODS These premium pushrods are tapered for enhanced clearance at the cylinder head allowing the use of higher lift cams. The one-piece chrome moly tube adds rigidity and durability and the threaded adjustment feature provides easy cam installation without removing the cylinder heads or rocker boxes. To simplify adjustment the tube features six flats with one flat marked with a large dot for tracking the adjustment. The threaded rod features 4 flats to reduce wrench swing. Each pushrod features the Screamin' Eagle logo and is marked for Intake or Exhaust. Kit includes 4 pushrods and required pushrod tubes., Harley Davidson,  , , , Title, Default Title, , , , , 18404-08, ,,,,,161.46,189.95
screamin'-eagle-high-capacity-tappets-2-18572-13, SCREAMIN' EAGLE HIGH-CAPACITY TAPPETS 2  , SCREAMIN' EAGLE PREMIUM TAPERED QUICK-INSTALL ADJUSTABLE PUSHRODS CHROME COVERS SCREAMIN' EAGLE PREMIUM TAPERED QUICK-INSTALL ADJUSTABLE PUSHRODS GLOSS BLACK COVERS SCREAMIN' EAGLE HIGH-CAPACITY TAPPETS 2 Screamin' Eagle Tappets feature large high capacity needles in the roller bearing assembly to improve reliability when operating with high lift cams high pressure valve springs and in high RPM applications. The 25% larger needle bearings increase the dynamic load rating by approximately 20% when compared to the Original Equipment Twin Cam tappets. The unique design delivers superior tappet life in performance applications. Set of 4. SCREAMIN' EAGLE PERFORMANCE II SE-585 CAM KIT SPORTSTER The high-lift full throttle cam kit provides significant horsepower gains when coupled with high-flowing exhaust and intake components and is a great fit for full-throttle horsepower junkies. 50-State U.S. EPA compliant. SCREAMIN' EAGLE HIGH-CAPACITY TAPPETS 2 Screamin' Eagle Tappets feature large high capacity needles in the roller bearing assembly to improve reliability when operating with high lift cams high pressure valve springs and in high RPM applications. The 25% larger needle bearings increase the dynamic load rating by approximately 20% when compared to the Original Equipment Twin Cam tappets. The unique design delivers superior tappet life in performance applications. Set of 4., Harley Davidson,  , , , Title, Default Title, , , , , 18572-13, ,,,,,212.46,249.95
