Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
fuel-tank-nameplate-and-adapter-kits-14093-84, FUEL TANK NAMEPLATE AND ADAPTER KITS , FUEL TANK NAMEPLATE AND ADAPTER KITS Adapter Kit for P/N 61771-66TB 61741-93T $23.95 Fits Fat Bob fuel tanks (except '08-later Touring and Trike models). Adapter Kit for P/N 61814-55T 61840-94T $23.95 Fits Fat Bob fuel tanks (except '08-later Touring and Trike models). Gives your fairing that custom look. Multi-colored. Made in the U.S.A. 14093-84 Black Background. $39.95 Eagle decal fits '13-earlier FL FLH and FLHT fairings., Harley Davidson,  , , , Title, Default Title, , , , , 14093-84, ,,,,,33.96,39.95
rear-fender-bib-51676-97, REAR FENDER BIB , REAR FENDER BIB TANK BRA QUICK-RELEASE SEAT HARDWARE KIT This Quick-Release Hardware Kit allows the rider to remove one-piece Harley-Davidson seats quickly and easily. The knurled knob is easy to install or remove without tools and the nylon washer keeps the finger tightened knob in place and rattle free. A raised-logo Harley-Davidson emblem finishes the look. SAE 1/4-20 thread. NEW Fits '97-later XG XL Dyna Softail (except '12-'17 FLS models equipped with Original Equipment seat) Touring and Trike models equipped with SAE 1/4-20 seat mount hardware. Does not fit seats equipped with spring-loaded rear seat bracket. DYNA 169 Seating Accessories & Tank Panels QUICK-RELEASE SEAT HARDWARE KITS This Quick-Release Hardware Kit allows the rider to remove one-piece Harley-Davidson seats quickly and easily. The knurled knob is easy to install or remove without tools and the nylon washer keeps the finger tightened knob in place and rattle free. A raised-logo Harley-Davidson emblem finishes the look. SAE 1/4-20 thread. Fits '97-later XG XL Dyna Softail (except '12-'17 FLS models equipped with Original Equipment seat) Touring and Trike models equipped with SAE 1/4-20 seat mount hardware. Does not fit seats equipped with spring-loaded rear seat bracket. CIRCULATOR SEAT AND WIDE BACKREST PADS Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. Seating Accessories RAIN COVERS* Featuring a handy storage sack this black nylon water-resistant Cordura cover packs easily and shelters your seat from the storm. 51638-97 Solo Seat. $29.95 Fits H-D solo seats (except XR and FLSTS). 51639-97 Two-Up. $31.95 Fits VRSC XG XL Dyna and Softail models with Two-Up seats. Does not fit Touring and Trike models. Does not fit with Rider Backrests. D. QUICK-RELEASE SEAT HARDWARE KIT This Quick-Release Hardware Kit allows the rider to remove one-piece Harley-Davidson seats quickly and easily. The knurled knob is easy to install or remove without tools and the nylon washer keeps the finger tightened knob in place and rattle free. A raised-logo Harley-Davidson emblem finishes the look. SAE 1/4-20 thread. Fits '97-later XG XL Dyna Softail (except '12-'17 FLS models equipped with Original Equipment seat) Touring and Trike models equipped with SAE 1/4-20 seat mount hardware. Does not fit seats equipped with spring-loaded rear seat bracket. STANDARD LEATHER SOLO SPRING SADDLE DELUXE LEATHER SOLO SPRING SADDLE WITH NOSTALGIC SKIRT Also available: SOLO SEAT BRACKET/SPRING KIT This kit is required to install Touring Solo Saddle P/N 51481-08 Deluxe Leather Solo Saddle P/N 52006-47B or Leather Solo Saddle P/N 52004-25. Complete the stripped-down solo look by replacing the Original Equipment passenger pillion with this decorative fender cover. Form-fitted to hug the contour of the rear fender this decorative fender cover hides the passenger pillion mounting holes that are exposed when riding with a solo seat. Styled to match the Original Equipment solo seat the Fender Bib features a textured leather insert to complete the custom look. The molded base is finished with a soft felt underliner designed to protect the fender's painted surface. 52018-08 Softail Deluxe Styling. $69.95 Fits '05-'17 FLSTN models equipped with Original Equipment rider seat. 52038-08 Fat Boy Styling. $69.95 Fits '07-'17 FLSTF FLSTFB and FLSTFBS models equipped with Original Equipment rider seat. F. QUICK-RELEASE SEAT HARDWARE KIT This Quick-Release Hardware Kit allows the rider to remove one-piece Harley-Davidson seats quickly and easily. The knurled knob is easy to install or remove without tools and the nylon washer keeps the finger tightened knob in place and rattle free. A raised-logo Harley-Davidson emblem finishes the look. SAE 1/4-20 thread. Fits '97-later XG XL Dyna Softail (except '12-'17 FLS models equipped with Original Equipment seat) Touring and Trike models equipped with SAE 1/4-20 seat mount hardware. Does not fit seats equipped with spring-loaded rear seat bracket. Chrome. Beef up the look of the passenger handrail with these easy-toinstall chrome-plated grips. The thick diameter offers a firm and comfortable hand hold for your passenger and features jet black rubber inserts ball-milled grooves and Bar & Shield logo for added style. Kit includes right and left grip and stainless steel mounting hardware. QUICK-RELEASE SEAT HARDWARE KIT This Quick-Release Hardware Kit allows the rider to remove one-piece Harley-Davidson seats quickly and easily. The knurled knob is easy to install or remove without tools and the nylon washer keeps the finger tightened knob in place and rattle free. A raised-logo Harley-Davidson emblem finishes the look. SAE 1/4-20 thread. Fits '97-later XG XL Dyna Softail (except '12-'17 FLS models equipped with Original Equipment seat) Touring and Trike models equipped with SAE 1/4-20 seat mount hardware. Does not fit seats equipped with spring-loaded rear seat bracket., Harley Davidson,  , , , Title, Default Title, , , , , 51676-97, ,,,,,16.96,19.95
tallboy-seat-'08-'13-models-51700-09, TALLBOY SEAT '08-'13 MODELS , TALLBOY SEAT '08-'13 MODELS TALLBOY SEAT '97-'07 MODELS Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. Seating Signature & Sun Ray The perfect combination of foam density and shape has resulted in our most comfortable seat for long-haul touring. The seat is shaped with a wide seating area to spread the pressure across the broad surface and a narrow nose area to keep your legs together for a shorter reach to the ground. The Signature Series Solo Seat features a built-in fully adjustable and removable rider backrest for added support. The backrest provides a 5-position height adjustment with 1.5 range and a wide range of forward/back adjustment with a quick twist of the control knob. The backrest pad features a sleek shape that provides full lower back support without pushing the rider forward. When combined with the comfortable Passenger Pillion P/N 52000133 or 51770-09 (sold separately) the slim profile of the rider backrest offers the passenger a few more inches of space and the fold-down design permits easy passenger mounting/dismounting. The rich vinyl seating surface is easy to clean and maintain and features an embossed Bar & Shield logo on the side skirts for a finishing touch. SIGNATURE SERIES SOLO SEAT WITH RIDER BACKREST (SHOWN WITH MATCHING PASSENGER PILLION) Shown with: SIGNATURE SERIES PASSENGER PILLION This easy-to-install pillion is designed for long range passenger comfort. The wide seating surface and specific-density padding reduce pressure points and spread the weight for superior support. The smooth cover matches the Signature Series Solo Seat and the embossed Bar & Shield logo on the rear shows everyone that you are riding in style. Add a matching Smooth Passenger Backrest for the complete look., Harley Davidson,  , , , Title, Default Title, , , , , 51700-09, ,,,,,450.46,529.95
signature-series-solo-seat-with-rider-backrest-51718-06, SIGNATURE SERIES SOLO SEAT WITH RIDER BACKREST  , SIGNATURE SERIES SOLO SEAT WITH RIDER BACKREST (SHOWN WITH MATCHING PASSENGER PILLION) Shown with: SIGNATURE SERIES PASSENGER PILLION This easy-to-install pillion is designed for long range passenger comfort. The wide seating surface and specific-density padding reduce pressure points and spread the weight for superior support. The smooth cover matches the Signature Series Solo Seat and the embossed Bar & Shield logo on the rear shows everyone that you are riding in style. Add a matching Smooth Passenger Backrest for the complete look. SUN RAY HEATED SEAT '14-LATER MODELS SUN RAY HEATED SEAT '97-'07 MODELS Chase away the chill on long fall and winter rides. This Sun Ray Heated Seat features dual-zone heated rider and passenger positions with separate high/low/off toggle controls for personal comfort selection. The durable leather seating surface with embossed ostrich skin pattern covers a deep bucket rider seat and a supportive passenger pillion for cross-country comfort. The one-piece seat with integrated heat pad and control system is simple to install and the heating element is switched on/off with the ignition to avoid draining the battery. Can be used with Rider Backrest Kits. 51718-06 Leather. $999.95 Fits '97-'07 Electra Glide (except FLHX) and '98-'07 Road Glide models. Seat width 17.0; passenger pillion width 16.0., Harley Davidson,  , , , Title, Default Title, , , , , 51718-06, ,,,,,849.96,999.95
sundownertm-seats-51726-05, SUNDOWNERTM SEATS  , Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. TOURING SUN RAY HEATED SEAT '14-LATER MODELS Chase away the chill on long fall and winter rides. This second generation heated seat features dual-zone heated rider and passenger positions with separate high/low/off toggle controls for personal comfort selection. The one-piece seat with integrated heat pad and control system is simple to install and the heating element is switched on/off with the ignition to avoid draining the battery. Smooth styling complements any Touring model. Can be used with optional Rider Backrest Kits. 52000135 Vinyl. $824.95 Fits '14-later Touring and Tri Glide models. '14-'16 models require separate purchase of Electrical Harness Extension P/N 69200722. '17-later models require Electrical Harness Extension P/N 69201599A. Seat width 15.0; passenger pillion width 15.0. Seating SundownerTM The SundownerTM Seat provides the maximum in long-riding comfort. The deep-bucket design puts your body in the proper touring position and the generous padding makes it comfortable for both the rider and passenger as the miles are adding up. The dished shape provides added rider back support and the wide passenger pillion is shaped to minimize pressure points. A. SUNDOWNER SEAT SMOOTH The smooth cover complements any Touring model. Seat accepts rider backrest for additional touring comfort., Harley Davidson,  , , , Title, Default Title, , , , , 51726-05, ,,,,,297.46,349.95
mid-sized-passenger-backrest-pad-leather-51727-05, MID-SIZED PASSENGER BACKREST PAD LEATHER  , MID-SIZED PASSENGER BACKREST PAD LEATHER Styled to match Leather Low-Profile Bucket Seat P/N 52918-98A. MID-SIZED PASSENGER BACKREST PAD LEATHER MID-SIZED PASSENGER BACKREST PAD TOP-STITCHED Smooth top-stitched pad complements most seating surfaces. MID-SIZED PASSENGER BACKREST PAD COMFORT STITCH Styled to match Comfort Stitch Seats and Rider Backrests., Harley Davidson,  , , , Title, Default Title, , , , , 51727-05, ,,,,,93.46,109.95
highlighted-products-51732-10, HIGHLIGHTED PRODUCTS  , This one is a badass urban rider with a little bit of rockabilly in its blood. The frame sets up an aggressive riding posture while the white pearl finish and polished engine give it some civility. And the black spoke wheels exhaust and fork sliders show everyone you mean business. SPORTSTER MODEL: XL883L PRODUCTION COLOR: Bonneville Salt Pearl DaymakerTM LED Projector Headlamp -- Gloss Black ..................................... 67700145A Front Spoiler -- Custom Painted ................................................................58882-04BDK Headlamp Visor Kit -- Custom Painted ...........................................................68129-97 Lower Fork Sliders -- Gloss Black....................................................................45500261 Further Forward Mid-Control Kit -- Gloss Black ..............................................50700028 Get-A-GripTM Hand Grips -- Black ................................................................... 56100008 Black Hand Control Lever Kit ............................................................................ 36700052 Edge Cut Dome Mirrors..................................................................................... 56000090 Rail Collection Derby Cover .............................................................................. 25700541 Rail Collection Timer Cover............................................................................... 25600060 Badlander Custom Seat ................................................................................. 52000211 Low-Profile Sissy Bar Upright ........................................................................... 52300403 Slip Over Backrest Pad ..................................................................................... 51732-10 Cut Back Side Covers -- Battery ..................................................................... 57200140 Cut Back Side Covers -- Oil Tank .................................................................... 57200139 ONE-PIECE H-D DETACHABLES SISSY BAR UPRIGHT CHROME (SHOWN WITH SMOOTH BACKREST PAD) Smooth Black. XL883N Style. XL1200X Style. LOW-PROFILE SISSY BAR UPRIGHT This low and lean one-piece bar mounts between the fender and fender struts for a clean close to the bike profile. The gloss black round bar upright delivers a simple bobber look on a solo seat equipped bike and provides the perfect passenger butt-stop for a Sportster model equipped with a low-profile two-up seat. The bar also accepts Slip-Over Pad P/N 51732-10 for added passenger comfort. SLIP-OVER PASSENGER BACKREST PAD This Slip-Over Backrest Pad provides a touch of passenger comfort while maintaining the long lean style of the Dyna Wide Glide model. Held in place with hook-and-loop tabs this rich black pad features grey stitching that complements the Original Equipment seat and pillion. Shown with: PASSENGER BACKREST PAD Styled to complement available touring and custom seats. Backrests & Racks Choose from a wide variety of backrest pad sizes and shapes to match your comfort and style demands. Designed to complement Original Equipment and accessory seats these pads are engineered to fit specific sissy bar upright types. A. SLIP-OVER PASSENGER BACKREST PAD This Slip-Over Backrest Pad provides a touch of passenger comfort while maintaining the long lean style of the Dyna Wide Glide model. Held in place with hook-and-loop tabs this rich black pad features grey stitching that complements the Original Equipment seat and pillion., Harley Davidson,  , , , Title, Default Title, , , , , 51732-10, ,,,,,127.46,149.95
signature-series-passenger-pillion-51734-10, SIGNATURE SERIES PASSENGER PILLION , SIGNATURE SERIES PASSENGER PILLION SUNDOWNER PASSENGER PILLION PASSENGER PILLION -- (52400127 SHOWN) Bring a guest along on your solo-seat equipped Sportster model. The cover and stitching of this Passenger Pillion complements the solo seat. Kit includes grab strap and mounting hardware. 52400130 '16 XL883L Style. $139.95 Fits '16-later XL883L models with Original Equipment solo seat. Models not equipped with passenger pegs require separate purchase of Passenger Footpeg Kit P/N 50500270. Seat width 9.0 52400127 '16 XL883N Style. $129.95 Fits '16-later XL883N models with Original Equipment solo seat. Models not equipped with passenger pegs require separate purchase of Passenger Footpeg Kit P/N 50500270. Seat width 7.5 52400125 '16 XL1200X Style. $139.95 Fits '16-later XL1200X models with Original Equipment solo seat. Models not equipped with passenger pegs require separate purchase of Passenger Footpeg Kit P/N 50500270. Seat width 7.5 F. PASSENGER PILLION Low-profile minimalistic Passenger Pillion features grey stitching to complement the Original Equipment solo seat on XL1200V and XL1200X models. Easy to install with included hardware and grab strap., Harley Davidson,  , , , Title, Default Title, , , , , 51734-10, ,,,,,118.96,139.95
sportster-51737-07, SPORTSTER , SPORTSTER Seating Reach &Tallboy Get a little bit closer. Super Reach forward position seats are designed to move riders with a shorter inseam even closer to the controls and to bring the legs closer together so that your feet rest firmly on the pavement. After hundreds of hours of on-road and ergonomic testing the seat shape and foam density were selected as the ideal position for riders 5'-0 to 5'-4 tall. The Super Reach Seat moves the rider 1.5 closer to the controls compared to stock seat on XL883L model and 2 closer and .5 lower compared to stock seat on XL1200C model. The nose is 1.0 narrower than the stock seat and it is tastefully sculpted to look great with any size Sportster fuel tank. The combination of premium textured and smooth vinyl surfaces and charcoal gray stitching and embroidered Bar & Shield logo really set the seat apart. For the ultimate solo touring setup add the Quick Release Rider Backrest P/N 52300245. Designed specifically for riders requiring a close to the bar riding position without compromising comfort. This seat positions the rider approximately .5 forward closer to the hand and foot controls. The narrow front profile brings your legs closer together to help you plant your feet firmly on the ground. The slightly bucketed rider seat offers lower back support and features a textured insert to prevent you from sliding around while riding., Harley Davidson,  , , , Title, Default Title, , , , , 51737-07, ,,,,,254.96,299.95
sportster-51738-07, SPORTSTER , SPORTSTER Seating Reach &Tallboy Get a little bit closer. Super Reach forward position seats are designed to move riders with a shorter inseam even closer to the controls and to bring the legs closer together so that your feet rest firmly on the pavement. After hundreds of hours of on-road and ergonomic testing the seat shape and foam density were selected as the ideal position for riders 5'-0 to 5'-4 tall. The Super Reach Seat moves the rider 1.5 closer to the controls compared to stock seat on XL883L model and 2 closer and .5 lower compared to stock seat on XL1200C model. The nose is 1.0 narrower than the stock seat and it is tastefully sculpted to look great with any size Sportster fuel tank. The combination of premium textured and smooth vinyl surfaces and charcoal gray stitching and embroidered Bar & Shield logo really set the seat apart. For the ultimate solo touring setup add the Quick Release Rider Backrest P/N 52300245. Designed specifically for riders requiring a close to the bar riding position without compromising comfort. This seat positions the rider approximately .5 forward closer to the hand and foot controls. The narrow front profile brings your legs closer together to help you plant your feet firmly on the ground. The slightly bucketed rider seat offers lower back support and features a textured insert to prevent you from sliding around while riding., Harley Davidson,  , , , Title, Default Title, , , , , 51738-07, ,,,,,254.96,299.95
passenger-pillion----(52400127-shown)-51744-07, PASSENGER PILLION -- (52400127 SHOWN) , Bring a guest along on your solo-seat equipped Sportster model. The cover and stitching of this Passenger Pillion complements the solo seat. Kit includes grab strap and mounting hardware. 52400130 '16 XL883L Style. $139.95 Fits '16-later XL883L models with Original Equipment solo seat. Models not equipped with passenger pegs require separate purchase of Passenger Footpeg Kit P/N 50500270. Seat width 9.0 52400127 '16 XL883N Style. $129.95 Fits '16-later XL883N models with Original Equipment solo seat. Models not equipped with passenger pegs require separate purchase of Passenger Footpeg Kit P/N 50500270. Seat width 7.5 52400125 '16 XL1200X Style. $139.95 Fits '16-later XL1200X models with Original Equipment solo seat. Models not equipped with passenger pegs require separate purchase of Passenger Footpeg Kit P/N 50500270. Seat width 7.5 F. PASSENGER PILLION Low-profile minimalistic Passenger Pillion features grey stitching to complement the Original Equipment solo seat on XL1200V and XL1200X models. Easy to install with included hardware and grab strap. PASSENGER PILLION -- (52400130 SHOWN) PASSENGER PILLION -- (52400125 SHOWN) Bring a guest along on your solo-seat equipped Sportster model. The smooth cover and top stitching of this Passenger Pillion complements the Original Equipment solo seat and the Reach Solo Seat. Kit includes grab strap and mounting hardware., Harley Davidson,  , , , Title, Default Title, , , , , 51744-07, ,,,,,110.46,129.95
sundowner-seat-softail-deuce-51763-07, SUNDOWNER SEAT SOFTAIL DEUCE , Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. SOFTAIL Seating Pillion TOURING PASSENGER PILLIONS* Styled to match the stitching and texture of the Original Equipment rider seat these stylish pillions provide an extra comfortable ride for your passenger on those long journeys. 51898-05A Smooth Styling. $169.95 Fits '05-'07 FLST and '07-'17 FLSTC FLSTF FLSTFB and FLSTFBS and FLSTSC models. Pillion width 14.0. 52915-07 '07-'11 Fat Boy Styling. $189.95 Fits '05-'07 FLST and '07-'17 FLSTC FLSTF FLSTFB and FLSTFBS and FLSTSC models. Pillion width 14.0. 52930-05 Softail Deluxe Styling. $189.95 Fits '05-'17 FLSTN models with Original Equipment Solo Seat. Pillion width 12.0. 51763-07 Heritage Softail Classic Styling. $189.95 Fits '05-'07 FLST and '07-'17 FLSTC FLSTF FLSTFB and FLSTFBS and FLSTSC models. Pillion width 14.0. 52912-00 Heritage Softail Classic Styling. $189.95 Fits '84-'06 Softail models (except '05 FLSTFI 15th Anniversary models FLSTN FLSTS FLSTSC or FXSTD). Pillion width 14.0. B. PASSENGER PILLION SOFTAIL SLIM STYLING* Bring a passenger along for the ride. This easy-to-install detachable Passenger Pillion features a tuck and roll cover styled to match the Original Equipment Softail Slim solo seat. Kit includes mounting hardware and grab strap., Harley Davidson,  , , , Title, Default Title, , , , , 51763-07, ,,,,,144.46,169.95
sundownertm-seats-51764-06, SUNDOWNERTM SEATS  , SOFTAIL Seating SundownerTM The SundownerTM Seat provides the maximum in long-riding comfort. The deep-bucket design puts your body in the proper touring position and the generous padding makes it comfortable for both the rider and passenger as the miles are adding up. The dished shape provides added rider back support and the wide passenger pillion is shaped to minimize pressure points. A. SUNDOWNER SEAT SMOOTH The smooth vinyl cover features elegant top-stitching to complement most Harley-Davidson saddlebags and luggage., Harley Davidson,  , , , Title, Default Title, , , , , 51764-06, ,,,,,297.46,349.95
tallboy-seat-'97-'07-models-51770-09, TALLBOY SEAT '97-'07 MODELS  , TALLBOY SEAT '08-'13 MODELS TALLBOY SEAT '97-'07 MODELS Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. Seating Signature & Sun Ray The perfect combination of foam density and shape has resulted in our most comfortable seat for long-haul touring. The seat is shaped with a wide seating area to spread the pressure across the broad surface and a narrow nose area to keep your legs together for a shorter reach to the ground. The Signature Series Solo Seat features a built-in fully adjustable and removable rider backrest for added support. The backrest provides a 5-position height adjustment with 1.5 range and a wide range of forward/back adjustment with a quick twist of the control knob. The backrest pad features a sleek shape that provides full lower back support without pushing the rider forward. When combined with the comfortable Passenger Pillion P/N 52000133 or 51770-09 (sold separately) the slim profile of the rider backrest offers the passenger a few more inches of space and the fold-down design permits easy passenger mounting/dismounting. The rich vinyl seating surface is easy to clean and maintain and features an embossed Bar & Shield logo on the side skirts for a finishing touch. SIGNATURE SERIES SOLO SEAT WITH RIDER BACKREST (SHOWN WITH MATCHING PASSENGER PILLION) Shown with: SIGNATURE SERIES PASSENGER PILLION This easy-to-install pillion is designed for long range passenger comfort. The wide seating surface and specific-density padding reduce pressure points and spread the weight for superior support. The smooth cover matches the Signature Series Solo Seat and the embossed Bar & Shield logo on the rear shows everyone that you are riding in style. Add a matching Smooth Passenger Backrest for the complete look., Harley Davidson,  , , , Title, Default Title, , , , , 51770-09, ,,,,,450.46,529.95
vrsc-51780-07, VRSC , VRSC TM Seating Backrests & Racks Although the VRSCTM family of motorcycles is built for speed it can also make a radical touring machine. This wide and contoured Passenger Pillion is shaped to deliver maximum passenger comfort for long hauls or around-town riding., Harley Davidson,  , , , Title, Default Title, , , , , 51780-07, ,,,,,84.96,99.95
tm-51782-07, TM , TM Backrests & Storage This wide Touring Backrest is shaped to provide added passenger comfort and support. This backrest sports a smooth clean finish that looks great with any smooth surface seat. TOURING PASSENGER BACKREST PAD COMPACT PASSENGER BACKREST PAD (51782-07 SHOWN) Seating Low-Profile & Pillion LOW-PROFILE LEATHER SEAT Prowl the town in style. Featured as Original Equipment on the '07 CVOTM Dyna model this low-profile seat features a breathable perforated leather insert. The firm padding makes you feel a part of the bike and the raised back stop keeps you in place when you hit the gas. Bring a passenger along for the ride. This Passenger Pillion includes a passenger grab strap. 51404-10 Smooth. $159.95 Fits '09-'17 FXDB and '10-'17 FXDWG models with Original Equipment solo seat. Installation on FXDB models requires separate purchase of Passenger Footpegs and Passenger Footpeg Mounting Kit P/N 50210-06. 51535-06A Smooth. $159.95 Fits '06-'09 Dyna models (except '09 FXDB). FXD and FXDB models require separate purchase of Passenger Footpegs and Passenger Footpeg Mounting Kit P/N 50210-06. Pillion width 9.5. C. QUICK-RELEASE PASSENGER PILLION Styled to complement stock or accessory solo seats this Passenger Pillion delivers maximum passenger comfort on the road. The pillion is easily removable from the Solo Rack P/N 52796-09 with a simple finger-pull release. The available Sissy Bar Upright P/N 52726-09 attaches directly to the pillion to provide a completely removable touring system. LOW-PROFILE LEATHER SEAT Styled to blend with the muscular look of the Dyna family this gloss black upright attaches directly to the passenger pillion for a clean look. Combine with Backrest Pad P/N 51782-07 for a complete touring system. 52726-09 Gloss Black. $59.95 Fits '06-'17 Dyna models (except FLD FXDF FXDFSE FXDLS and '10-'17 FXDWG) with solo seats. Installation requires separate purchase of Rigid Solo Rack P/N 52796-09 and Passenger Pillion P/N 52689-09. Shown with: COMPACT PASSENGER BACKREST PAD Styled to complement Original Equipment and accessory seats these Compact Backrest Pads are engineered to fit specific sissy bar uprights. 51782-07 Smooth. $79.95 Fits '07-'11 VRSCTM (except VRSCF) '06-'07 VRSCR and '06 VRSCSE models equipped with Sissy Bar Upright P/N 5116206 or 51313-07 '06-'17 Dyna models equipped with Sissy Bar Upright P/N 52726-09. FXDB HDI models require 67800499 Turn Signal Relocation Kit., Harley Davidson,  , , , Title, Default Title, , , , , 51782-07, ,,,,,76.46,89.95
cast-one-piece-luggage-rack-(vrscdx-shown)-51783-07, CAST ONE-PIECE LUGGAGE RACK (VRSCDX SHOWN) , TM Backrests & Storage This wide Touring Backrest is shaped to provide added passenger comfort and support., Harley Davidson,  , , , Title, Default Title, , , , , 51783-07, ,,,,,84.96,99.95
sundowner-seat-smooth-(51468-06a-shown)-51813-09, SUNDOWNER SEAT SMOOTH (51468-06A SHOWN) , SUNDOWNER SEAT SMOOTH (51468-06A SHOWN) Styled to complement the Softail Deluxe model this Sundowner Seat features a leather valance with an embossed pattern and winged logo. This highly stylized seat features a leather valance with decorative chrome spots along with intricate stitching detail on the seating surface to match the '00-'15 Heritage Softail Classic model., Harley Davidson,  , , , Title, Default Title, , , , , 51813-09, ,,,,,322.96,379.95
sundownertm-seats-51841-06, SUNDOWNERTM SEATS  , The SundownerTM Seat provides the maximum in long-riding comfort. The deep-bucket design puts your body in the proper touring position and the generous padding makes it comfortable for both the rider and passenger as the miles are adding up. The dished shape provides added rider back support and the wide passenger pillion is shaped to minimize pressure points. A. SUNDOWNER SEAT SMOOTH The smooth vinyl cover features elegant top-stitching to complement most Harley-Davidson saddlebags and luggage. SUNDOWNER SEAT SMOOTH (51468-06A SHOWN) Styled to complement the Softail Deluxe model this Sundowner Seat features a leather valance with an embossed pattern and winged logo., Harley Davidson,  , , , Title, Default Title, , , , , 51841-06, ,,,,,322.96,379.95
